Symbol,Series,Date,Close,Open,High,Low,Volume
HDFC,W3,13-Oct-21,837.45,835.1,845,831,5400
HDFC,EQ,14-Oct-21,2765.6,2758.3,2815.55,2751.85,2737670
HDFC,W3,14-Oct-21,844,855,885,850,17400
HDFC,EQ,18-Oct-21,2808.75,2848,2848,2788.05,2609969
HDFC,W3,18-Oct-21,878.3,895,896,853.5,18000
HDFC,EQ,19-Oct-21,2811.5,2825,2827.95,2800,1994376
HDFC,W3,19-Oct-21,882.3,873,899,873,9600
HDFC,EQ,20-Oct-21,2822.9,2833,2839.85,2773.4,2106814
HDFC,W3,20-Oct-21,894,887,892.05,860,25800
HDFC,EQ,21-Oct-21,2795.1,2814,2857.4,2797.85,3747385
HDFC,W3,21-Oct-21,863.55,880,892,865.1,76800
HDFC,EQ,22-Oct-21,2844.1,2858.8,2938.35,2856,4364342
HDFC,W3,22-Oct-21,881.85,920,938.7,900,80400
HDFC,EQ,25-Oct-21,2903.95,2905,2919,2856.25,3463553
HDFC,W3,25-Oct-21,917.15,913,914,880,135600
HDFC,EQ,26-Oct-21,2896.15,2908,2934,2896,2430141
HDFC,W3,26-Oct-21,882.1,899.95,920,895,23400
HDFC,EQ,27-Oct-21,2911.65,2920.05,2948,2901.4,3136213
HDFC,W3,27-Oct-21,904.55,909.55,930.4,903.1,63600
HDFC,EQ,28-Oct-21,2915,2891,2924.3,2863.15,3302920
HDFC,W3,28-Oct-21,905.45,875.55,911.55,875,64200
HDFC,EQ,29-Oct-21,2900.8,2891,2893,2791.2,3830779
HDFC,W3,29-Oct-21,886.5,845.1,870,820.55,24600
HDFC,EQ,01-Nov-21,2844.7,2873,2947.9,2838.05,4951039
HDFC,W3,01-Nov-21,850,890,935,862.2,126600
HDFC,EQ,02-Nov-21,2887.95,2887.9,2917.25,2865.65,4355642
HDFC,W3,02-Nov-21,898.8,890,911.5,883,85200
HDFC,EQ,03-Nov-21,2900.05,2908,2932.9,2872,3731077
HDFC,W3,03-Nov-21,901.65,921.25,940,886,40800
HDFC,EQ,04-Nov-21,2895.9,2899.05,2909,2895.05,129087
HDFC,W3,04-Nov-21,897,910,911,910,1200
HDFC,EQ,08-Nov-21,2899.7,2929,3002,2906.15,5481172
HDFC,W3,08-Nov-21,911,925,985,915,55800
HDFC,EQ,09-Nov-21,2979.55,2955.05,2966.95,2916.1,2947787
HDFC,W3,09-Nov-21,971.65,950,956.75,925.6,21600
HDFC,EQ,10-Nov-21,2941.6,2920,2951,2886.05,3294239
HDFC,W3,10-Nov-21,939,895.35,946,895,16800
HDFC,EQ,11-Nov-21,2945.6,2932,2932,2885.15,2480671
HDFC,W3,11-Nov-21,943,910,918.35,890,19200
HDFC,EQ,12-Nov-21,2908.85,2925,2998,2905.45,2802442
HDFC,W3,12-Nov-21,907.15,930,987,909,28800
