Date,Open,High,Low,Close,Volume
18-Aug-21,824,825,800,812.35,46200
20-Aug-21,2700,2738.95,2698,2710.75,3986473
20-Aug-21,790,810,790,802,8400
23-Aug-21,2745.5,2758.5,2710,2722.05,1901700
23-Aug-21,812,812,781.1,795,33000
24-Aug-21,2726,2729.9,2683.95,2721.95,2984595
24-Aug-21,771,776,767.1,786.2,16200
25-Aug-21,2707.8,2718.5,2696.25,2691.25,1714777
25-Aug-21,790,790,790,774.5,600
26-Aug-21,2711.25,2720,2682.2,2699.25,1855274
26-Aug-21,790,790,780,790,2400
27-Aug-21,2694.1,2724.65,2662.05,2700.35,2761023
27-Aug-21,755,787,755,780,10200
30-Aug-21,2730.45,2764.9,2723.1,2718.2,1731926
30-Aug-21,798.9,815,798.9,785.4,38400
31-Aug-21,2748,2812,2739.35,2755.7,4933523
31-Aug-21,817,840,817,811.8,42000
01-Sep-21,2790,2796.95,2736.6,2798.5,3084291
01-Sep-21,820.5,827.8,810,837.65,16200
02-Sep-21,2756.9,2785,2737.25,2747.75,1734037
02-Sep-21,824.65,838,815,815,32400
03-Sep-21,2768.1,2784.15,2742.1,2777.7,1914438
03-Sep-21,838,838,816,826,9600
06-Sep-21,2765,2777.7,2741.2,2758.6,1729080
06-Sep-21,818,830.1,818,830.95,18600
07-Sep-21,2769.8,2853.65,2749.95,2765.3,4072518
07-Sep-21,830.9,896.5,820,827,52800
08-Sep-21,2838.25,2852,2802.25,2837,2274494
08-Sep-21,875.15,887,861,879.3,11400
09-Sep-21,2815.2,2853.85,2813.8,2829.3,1986913
09-Sep-21,875,889,864.1,880.95,7200
13-Sep-21,2844,2875.85,2833.3,2830.1,3283960
13-Sep-21,885,904,875,869.25,42600
14-Sep-21,2864.95,2869,2810,2849.8,2238463
14-Sep-21,871.1,871.1,856,878.25,7800
15-Sep-21,2805.7,2843,2795,2818.05,1924840
15-Sep-21,856.05,870,851,856,18600
16-Sep-21,2800,2823.9,2798.5,2815.45,1831201
16-Sep-21,851,859,843,856,7200
17-Sep-21,2832.25,2851.95,2801.7,2812.35,4447386
17-Sep-21,869.95,889.8,855,852.5,15600
20-Sep-21,2795.3,2808.65,2733,2825.65,2057743
20-Sep-21,841,841,801.5,870.05,30000
